paper_id,short_title,year_month,coarse_topic,main_model_stage,title,source,source_url,raw_order,raw_author_name,clean_author_name,canonical_changed,v4_group,departed_mark,manual_note,researcher_filter_note
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,2,Xiao Bi,Xiao Bi,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,3,Deli Chen,Deli Chen,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,4,Guanting Chen,Guanting Chen,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,5,Shanhuang Chen,Shanhuang Chen,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,6,Damai Dai,Damai Dai,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,7,Chengqi Deng,Chengqi Deng,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,8,Honghui Ding,Honghui Ding,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,9,Kai Dong,Kai Dong,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,10,Qiushi Du,Qiushi Du,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,11,Zhe Fu,Zhe Fu,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,12,Huazuo Gao,Huazuo Gao,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,13,Kaige Gao,Kaige Gao,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,14,Wenjun Gao,Wenjun Gao,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,15,Ruiqi Ge,Ruiqi Ge,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,16,Kang Guan,Kang Guan,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,17,Daya Guo,Daya Guo,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,18,Jianzhong Guo,Jianzhong Guo,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,19,Guangbo Hao,Guangbo Hao,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,20,Zhewen Hao,Zhewen Hao,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,21,Ying He,Ying He,False,,,,unsplit_signature_authors_excluding_team_names
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,22,Wenjie Hu,Wenjie Hu,False,,,,unsplit_signature_authors_excluding_team_names
